영어단어,한글단어설명,예문1,예문2,category,deck_group
Faint,희미한,We heard a faint cry for help in the distance. (우리는 멀리서 도움을 요청하는 희미한 외침을 들었습니다.),There was a faint noise coming from downstairs. (아래층에서 희미한 소리가 들려왔습니다.),SENSE_STYLE,SOUND_AUDITORY
Grating,귀에 거슬리는  격자>창살> 귀에거슬리는,His voice is really grating after a while. (그의 목소리는 잠시 후 정말 귀에 거슬립니다.),I heard a grating mechanical noise from the engine. (나는 엔진에서 귀에 거슬리는 기계 소음을 들었습니다.),SENSE_STYLE,SOUND_AUDITORY
Hoarse,(목이) 쉰,He shouted until his voice was hoarse. (그는 목소리가 쉴 때까지 소리쳤습니다.),He spoke in a hoarse whisper. (그는 쉰 듯한 속삭임으로 말했습니다.),SENSE_STYLE,SOUND_AUDITORY
Cacophonous,불협화음의  (그)cakos 나쁘다. + phone,The cacophonous traffic noise woke me up. (불협화음 같은 교통 소음이 나를 깨웠습니다.),It was a cacophonous mix of instruments tuning up. (그것은 조율하는 악기들의 듣기 싫게 뒤섞인 소리였습니다.),SENSE_STYLE,SOUND_AUDITORY
Shrill,"새된, 꽥 하는","She has a high, shrill voice that annoys me. (그녀는 나를 짜증 나게 하는 높고 새된 목소리를 가졌습니다.)",A shrill alarm went off in the building. (건물 안에서 날카로운 경보음이 울렸습니다.),SENSE_STYLE,SOUND_AUDITORY
Piercing,귀를 찢는 듯한,A piercing scream broke the silence of the night. (귀를 찢는 듯한 비명이 밤의 정적을 깼습니다.),The piercing sound of the whistle hurt my ears. (호루라기의 날카로운 소리가 내 귀를 아프게 했습니다.),SENSE_STYLE,SOUND_AUDITORY
Rasping,"거슬리는, 쇳소리의",I heard a rasping cough from the other room. (나는 다른 방에서 거친 기침 소리를 들었습니다.),His breathing was heavy and rasping. (그의 숨소리는 무겁고 쇳소리가 났습니다.),SENSE_STYLE,SOUND_AUDITORY
Melodious,선율이 아름다운,She has a melodious voice suitable for opera. (그녀는 오페라에 적합한 아름다운 목소리를 가졌습니다.),The birds sang a melodious tune in the morning. (새들이 아침에 아름다운 곡조로 노래했습니다.),SENSE_STYLE,SOUND_AUDITORY
Harmonious,조화로운,The choir produced a harmonious sound together. (합창단은 함께 조화로운 소리를 냈습니다.),It was a harmonious blend of different instruments. (그것은 다른 악기들의 조화로운 섞임이었습니다.),SENSE_STYLE,SOUND_AUDITORY
Husky,허스키한,"He has a sexy, husky voice like a rock star. (그는 록스타처럼 섹시하고 허스키한 목소리를 가졌습니다.)",She sounded husky from a bad cold. (그녀는 심한 감기 때문에 목소리가 잠겨 있었습니다.),SENSE_STYLE,SOUND_AUDITORY
Monotone,단조로운,The professor spoke in a boring monotone. (교수님은 지루하고 단조로운 어조로 말했습니다.),"The robot had a flat, monotone voice. (그 로봇은 억양 없는 단조로운 목소리를 냈습니다.)",SENSE_STYLE,SOUND_AUDITORY
Audible,들리는,His whisper was barely audible to me. (그의 속삭임은 나에게 간신히 들릴 정도였습니다.),Make sure the alarm sound is audible throughout the house. (알람 소리가 집 전체에 들리도록 확인하세요.),SENSE_STYLE,SOUND_AUDITORY
Acoustic,"음향의, 전자 장치를 안 쓴",We enjoyed an acoustic guitar performance. (우리는 통기타 연주를 즐겼습니다.),The acoustic quality of the hall is excellent. (그 홀의 음향 품질은 훌륭합니다.),SENSE_STYLE,SOUND_AUDITORY
Thundering,우레 같은,The thundering sound of the waterfall was impressive. (폭포의 우레 같은 소리는 인상적이었습니다.),He received thundering applause from the audience. (그는 관중으로부터 우레와 같은 박수갈채를 받았습니다.),SENSE_STYLE,SOUND_AUDITORY
Silky,비단 같은,Her hair feels silky soft after conditioning. (컨디셔닝 후 그녀의 머리카락은 비단처럼 부드럽습니다.),She has silky smooth skin. (그녀는 비단같이 매끄러운 피부를 가졌습니다.),SENSE_STYLE,TOUCH_TEXTURE
Velvety,벨벳 같은,"The flower petals have a soft, velvety texture. (꽃잎은 부드럽고 벨벳 같은 질감을 가졌습니다.)",This is a velvety chocolate mousse dessert. (이것은 벨벳처럼 부드러운 초콜릿 무스 디저트입니다.),SENSE_STYLE,TOUCH_TEXTURE
Sleek,매끄러운,The seal has sleek fur that repels water. (물개는 물을 튕겨내는 매끄러운 털을 가지고 있습니다.),It is a sleek plastic surface with no scratches. (그것은 흠집 없는 매끄러운 플라스틱 표면입니다.),SENSE_STYLE,TOUCH_TEXTURE
Supple,"유연한, 탄력 있는.  sub+pli(구부리다)",This high-quality leather is very supple. (이 고급 가죽은 매우 유연합니다.),Use lotion to keep your skin supple. (피부를 탄력 있게 유지하기 위해 로션을 사용하세요.),SENSE_STYLE,TOUCH_TEXTURE
[supple](https://www.google.com/search?q=supple_sca_esv=5ea70eeef6a2a5b7_rlz=1C5CHFA_enKR1185KR1185_sxsrf=AE3TifMncPwbcYuEJE04QBefCVP_avfAWw%3A1765085439607_ei=_xA1aeXjJO6y0-kPoIOu6QU_ved=2ahUKEwjn6qHe36qRAxVv1jQHHSyPOTsQgK4QegQIAxAG_uact=5_oq=Supple+%EC%96%B4%EC%9B%90_gs_lp=Egxnd3Mtd2l6LXNlcnAiDVN1cHBsZSDslrTsm5AyBhAAGAcYHjIGEAAYDRgeMgQQABgeMggQABiABBiiBDIIEAAYgAQYogQyBRAAGO8FSOcJUNMCWKEIcAJ4AJABAJgBggGgAfABqgEDMC4yuAEDyAEA-AEC-AEBmAIEoAKAAsICCBAAGLADGO8FwgILEAAYgAQYsAMYogSYAwCIBgGQBgWSBwMyLjKgB7YHsgcDMC4yuAf4AcIHBTAuMy4xyAcKgAgA_sclient=gws-wiz-serp_mstk=AUtExfCu7yfUGZUVWmeRCrvQ5TxBuPrdlXhwQtWLbzOUgQzhAxmmTEJd_jrJmTBCb_Ucq3_o4oA28lcF_7xzQXQJTlAoc_NjsWjhMDyald09V8VoSqUtJ8SSLwjTaGuR1RIBOekL15Fi7VU1WvxP1APEObqBkaSaDJ2F76U6ngEnQA1sexMh5jHhhY3BVojM5UGqw79vBoJnpwOzlEH8HrwK0QsDAYAfqDicrGAKDC_vSd9YbKkTsWS2uApjx1wW90M8Oj9XpSLGKvL0LPp21YLnmBNH_csui=3)ment,보충하다.,,,SENSE_STYLE,TOUCH_TEXTURE
Fluffy,"푹신한, 솜털 같은","I slept on a big, fluffy pillow. (나는 크고 푹신한 베개 위에서 잤습니다.)",Look at the fluffy clouds in the sky. (하늘에 있는 솜털 같은 구름을 보세요.),SENSE_STYLE,TOUCH_TEXTURE
Coarse,거친 (입자가 굵은),He used coarse sand paper to smooth the wood. (그는 나무를 다듬기 위해 거친 사포를 사용했습니다.),The fabric feels coarse and itchy on my skin. (그 천은 내 피부에 거칠고 가렵게 느껴집니다.),SENSE_STYLE,TOUCH_TEXTURE
Rough,"거친, 울퉁불퉁한",His hands are rough from years of hard work. (그의 손은 수년간의 힘든 일로 거칠어졌습니다.),"We were walking on rough, uneven ground. (우리는 거칠고 울퉁불퉁한 땅을 걷고 있었습니다.)",SENSE_STYLE,TOUCH_TEXTURE
Prickly,"가시 같은, 따끔거리는  (고)prik 찌르다",Be careful of the prickly cactus. (가시 돋친 선인장을 조심하세요.),My skin feels prickly in the summer heat. (여름 더위 때문에 내 피부가 따끔거립니다.),SENSE_STYLE,TOUCH_TEXTURE
Bristly,까슬까슬한 (털),He scratched his chin through his bristly beard. (그는 까슬까슬한 수염 사이로 턱을 긁었습니다.),I used a bristly brush to scrub the floor. (나는 바닥을 문지르기 위해 털이 뻣뻣한 솔을 사용했습니다.),SENSE_STYLE,TOUCH_TEXTURE
Gritty,"모래 같은, 꺼끌꺼끌한",My eyes feel gritty and tired from lack of sleep. (수면 부족으로 눈이 꺼끌꺼끌하고 피곤합니다.),Please keep the gritty sand off the clean floor. (꺼끌꺼끌한 모래가 깨끗한 바닥에 들어오지 않게 하세요.),SENSE_STYLE,TOUCH_TEXTURE
grit,모래,,,SENSE_STYLE,TOUCH_TEXTURE
Abrasive,"연마하는, 거친",Do not use abrasive cleaners on the glass surface. (유리 표면에 연마성 세제를 사용하지 마세요.),He has an abrasive personality that annoys people. (그는 사람들을 짜증 나게 하는 거친 성격을 가졌습니다.),SENSE_STYLE,TOUCH_TEXTURE
Clammy,축축한 (기분 나쁜)  clam(끈적)/ clay(점토),His hands were cold and clammy with fear. (두려움으로 그의 손은 차갑고 축축했습니다.),It was a clammy day with high humidity. (습도가 높은 축축한 날이었습니다.),SENSE_STYLE,TOUCH_TEXTURE
Viscous,"점성이 있는, 끈적한","Honey is a thick, viscous liquid. (꿀은 걸쭉하고 점성이 있는 액체입니다.)",The engine oil became black and viscous. (엔진 오일이 검고 끈적해졌습니다.),SENSE_STYLE,TOUCH_TEXTURE
Damp,"눅눅한, 축축한",Wipe the table with a damp cloth. (젖은 천으로 탁자를 닦으세요.),The basement walls are damp and moldy. (지하실 벽이 눅눅하고 곰팡이가 피었습니다.),SENSE_STYLE,TOUCH_TEXTURE
Slimy,"미끈거리는, 끈적한",The fish felt slimy when I caught it. (물고기를 잡았을 때 미끈거렸습니다.),Be careful of the slimy rocks near the river. (강가에 있는 미끈거리는 바위들을 조심하세요.),SENSE_STYLE,TOUCH_TEXTURE
Sticky,끈적끈적한,My fingers are sticky from the honey toast. (허니 토스트 때문에 내 손가락이 끈적거립니다.),It feels hot and sticky outside today. (오늘 밖은 덥고 끈적거립니다.),SENSE_STYLE,TOUCH_TEXTURE
Tepid,미지근한,Tepid water is best for washing your sensitive face. (미지근한 물이 예민한 얼굴을 씻기에 가장 좋습니다.),The movie received a tepid response from critics. (그 영화는 비평가들로부터 미지근한 반응을 얻었습니다.),SENSE_STYLE,TOUCH_TEXTURE
Frigid,몹시 차가운,Frigid air blew in from the open window. (열린 창문으로 몹시 차가운 공기가 들어왔습니다.),The water in the lake was absolutely frigid. (호수의 물은 정말 얼음장처럼 차가웠습니다.),SENSE_STYLE,TOUCH_TEXTURE
Brittle,부서지기 쉬운,Dry autumn leaves become brittle. (마른 가을 낙엽은 부서지기 쉬워집니다.),Her bones are brittle due to old age. (그녀의 뼈는 노령 때문에 부러지기 쉽습니다.),SENSE_STYLE,TOUCH_TEXTURE
Fragile,"깨지기 쉬운, 연약한",Handle with care because the contents are fragile. (내용물이 깨지기 쉬우므로 조심해서 다루세요.),It is a fragile glass vase from Italy. (그것은 이탈리아산 깨지기 쉬운 유리 꽃병입니다.),SENSE_STYLE,TOUCH_TEXTURE
Jagged,삐죽삐죽한,Be careful of the jagged edge of the broken glass. (깨진 유리의 삐죽삐죽한 가장자리를 조심하세요.),There are jagged rocks along the coast. (해안가를 따라 삐죽삐죽한 바위들이 있습니다.),SENSE_STYLE,TOUCH_TEXTURE
Fragrant,"향기로운 >  fragile(깨지기쉬운, 향기가 사라지기쉬운)",We walked through a garden full of fragrant roses. (우리는 향기로운 장미로 가득한 정원을 걸었습니다.),The tea leaves are very fragrant. (찻잎이 매우 향기롭습니다.),SENSE_STYLE,SMELL_SCENT
Redolent,~향이 감도는/생각나게 하는   odor (냄새) (라)olere향기나다,The kitchen was redolent of garlic and onions. (부엌에는 마늘과 양파 냄새가 감돌았습니다.),It was an atmosphere redolent of the past. (그것은 과거를 떠올리게 하는 분위기였습니다.),SENSE_STYLE,SMELL_SCENT
Aromatic,향이 좋은 (음식/허브),The sauce contains aromatic herbs like basil. (그 소스는 바질 같은 향이 좋은 허브를 포함합니다.),I love the smell of an aromatic coffee blend. (나는 향이 풍부한 커피 블렌드의 냄새를 좋아합니다.),SENSE_STYLE,SMELL_SCENT
Scented,향이 나는 (인공/자연),She lit some scented candles in the room. (그녀는 방에 향초를 켰습니다.),I prefer lemon-scented soap. (나는 레몬 향이 나는 비누를 선호합니다.),SENSE_STYLE,SMELL_SCENT
Perfumed,향수를 뿌린,I received a heavily perfumed letter. (나는 향수 냄새가 진하게 나는 편지를 받았습니다.),The air was perfumed with the scent of jasmine. (공기 중에 재스민 향이 가득했습니다.),SENSE_STYLE,SMELL_SCENT
Floral,꽃향기의,She wears a light floral perfume in summer. (그녀는 여름에 가벼운 꽃향기 향수를 뿌립니다.),I can taste floral notes in this wine. (이 와인에서 꽃향기를 느낄 수 있습니다.),SENSE_STYLE,SMELL_SCENT
Fresh,"신선한, 상쾌한",I love the smell of fresh bread baking. (나는 갓 구운 빵 냄새를 좋아합니다.),Let's go out and get some fresh sea air. (나가서 신선한 바다 공기 좀 쐬자.),SENSE_STYLE,SMELL_SCENT
Earthy,흙냄새 나는,I smell the earthy scent of wet soil after rain. (비 온 뒤 젖은 흙의 냄새가 납니다.),Truffles have a strong earthy aroma. (송로버섯은 강한 흙냄새를 가지고 있습니다.),SENSE_STYLE,SMELL_SCENT
Musky,사향 냄새가 나는,He wears a cologne with a musky scent. (그는 사향 냄새가 나는 코롱을 씁니다.),"The room had a deep, musky smell. (방에서 깊고 관능적인 냄새가 났습니다.)",SENSE_STYLE,SMELL_SCENT
Smoky,연기 냄새가 나는,This is a smoky whiskey with a strong flavor. (이것은 강한 풍미가 있는 훈제 향 위스키입니다.),The room smelled smoky from the fireplace. (방에서 벽난로 때문에 연기 냄새가 났습니다.),SENSE_STYLE,SMELL_SCENT
Stinking,악취가 진동하는,There is a stinking pile of garbage outside. (밖에 악취가 진동하는 쓰레기 더미가 있습니다.),stank of smoke,SENSE_STYLE,SMELL_SCENT
Foul,"더러운, 고약한",A foul stench is coming from the drain. (하수구에서 고약한 악취가 올라오고 있습니다.),The air in the room tasted foul. (방 안의 공기 맛이 고약했습니다.),SENSE_STYLE,SMELL_SCENT
Fetid,극도로 악취가 나는 (부패),We avoided the fetid water of the swamp. (우리는 늪의 악취 나는 물을 피했습니다.),He had a fetid breath due to illness. (그는 병 때문에 고약한 입 냄새가 났습니다.),SENSE_STYLE,SMELL_SCENT
Musty,"곰팡내 나는, 퀴퀴한",The old basement smells damp and musty. (오래된 지하실에서 눅눅하고 퀴퀴한 냄새가 납니다.),I found some musty old clothes in the attic. (나는 다락방에서 곰팡내 나는 헌 옷들을 발견했습니다.),SENSE_STYLE,SMELL_SCENT
Rancid,쩐내가 나는,The cooking oil smells rancid. (식용유에서 쩐내가 납니다.),Do not eat the rancid butter. (산패한 버터는 먹지 마세요.),SENSE_STYLE,SMELL_SCENT
Pungent,코를 찌르는,The pungent smell of onions made me cry. (양파의 코를 찌르는 냄새가 나를 울게 했습니다.),Ammonia has a very pungent odor. (암모니아는 매우 톡 쏘는 냄새가 있습니다.),SENSE_STYLE,SMELL_SCENT
Acrid,매캐한,The acrid smell of burning rubber filled the air. (타는 고무의 매캐한 냄새가 공기를 채웠습니다.),Acrid smoke stung my eyes and throat. (매캐한 연기가 내 눈과 목을 따갑게 했습니다.),SENSE_STYLE,SMELL_SCENT
Malodorous,악취가 나는 (격식),Certain bacteria are malodorous. (특정 박테리아는 악취를 풍깁니다.),It is a malodorous chemical used in industry. (그것은 산업에 사용되는 악취가 나는 화학물질입니다.),SENSE_STYLE,SMELL_SCENT
Noxious,"유독한, 유해한",Noxious fumes filled the garage from the car. (차에서 나온 유독한 가스가 차고를 채웠습니다.),We had to evacuate due to noxious gas. (우리는 유독 가스 때문에 대피해야 했습니다.),SENSE_STYLE,SMELL_SCENT
Overpowering,압도적인 (너무 강한),Her perfume was too overpowering for me. (그녀의 향수는 나에게 냄새가 너무 진했습니다.),The smell of bleach was overpowering in the bathroom. (화장실의 표백제 냄새가 너무 독했습니다.),SENSE_STYLE,SMELL_SCENT
Stale,"케케묵은, 신선하지 않은",The room smelled of stale tobacco smoke. (방에서 찌든 담배 냄새가 났습니다.),Open the window to let out the stale air. (탁한 공기를 내보내기 위해 창문을 여세요.),SENSE_STYLE,SMELL_SCENT
Intelligent,지능적인 (가장 일반적이고 격식 있는 표현),Humans are intelligent beings. (인간은 지능적인 존재입니다.),She asked a very intelligent question. (그녀는 매우 지능적인 질문을 했습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Smart,똑똑한 (똑바르고 깔끔하게 머리가 좋은),He is smart enough to solve the puzzle. (그는 퍼즐을 풀 만큼 똑똑합니다.),That was a smart move. (그것은 똑똑한 수였습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Bright,"총명한, 영리한 (잠재력이 있고 눈이 반짝이는)",She is a bright student with a future. (그녀는 장래가 촉망되는 총명한 학생입니다.),He came up with a bright idea. (그는 기발한 아이디어를 냈습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Brilliant,"명석한, 훌륭한 (지능이 빛날 정도로 뛰어난)",A brilliant scientist won the prize. (명석한 과학자가 상을 받았습니다.),It was a brilliant solution to the problem. (그것은 문제에 대한 훌륭한 해결책이었습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Genius,천재적인 (범접할 수 없는 재능),Mozart was a musical genius. (모차르트는 음악적 천재였습니다.),It takes a genius to figure this out. (이것을 알아내는 데는 천재가 필요합니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Resourceful,"기지 넘치는, 수완 좋은 (자원을 잘 활용하는)",She is resourceful in a crisis. (그녀는 위기 상황에서 수완이 좋습니다.),A resourceful leader finds solutions. (수완 좋은 리더는 해결책을 찾습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Erudite,"박식한, 학식 있는ex(바깥)[rudis(미숙한)](rudis(%EB%AF%B8%EC%88%99%ED%95%9C)%202c23415d9fe7801ba725ceb7c3eb0e84.md)",An erudite professor of literature. (박식한 문학 교수.),He wrote an erudite book on philosophy. (그는 철학에 관한 학식 있는 책을 썼습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
rudimentary,기초적인,"rude 무례한, 거친",,GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Cerebral,"이성적인, 머리를 쓰는 (감정보다 두뇌 활동을 중시하는)",Chess is a cerebral game. (체스는 머리를 쓰는 게임입니다.),He enjoys cerebral movies. (그는 지적인 영화를 즐깁니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Gifted,타고난 재능이 있는 (신이 주신 선물 같은),A gifted child pianist. (재능 있는 어린이 피아니스트.),She is gifted in mathematics. (그녀는 수학에 타고난 재능이 있습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Talented,재주가 있는 (특정 분야에 능력이 있는),He is a talented artist. (그는 재능 있는 예술가입니다.),A talented team of engineers. (유능한 엔지니어 팀.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Sharp,"날카로운, 예리한 (두뇌 회전이 빠르고 정확한)",Keep your mind sharp with puzzles. (퍼즐로 두뇌를 예리하게 유지하세요.),She has a sharp wit. (그녀는 예리한 재치를 가졌습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Quick-witted,두뇌 회전이 빠른 (즉각적으로 반응하는),His quick-witted reply made everyone laugh. (그의 순발력 있는 대답은 모두를 웃게 했습니다.),You need to be quick-witted in this game. (이 게임에서는 머리 회전이 빨라야 합니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Brainy,머리가 좋은 (구어체) (공부 잘하는 뉘앙스),She is the brainy one in the family. (그녀는 가족 중에서 머리가 좋은 편입니다.),He likes brainy girls. (그는 지적인 여자를 좋아합니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Intellectual,지적인 (학문적이고 깊이 생각하는),An intellectual discussion about art. (예술에 대한 지적인 토론.),He considers himself an intellectual. (그는 자신을 지식인이라고 생각합니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Academic,학구적인 (학교 공부나 이론에 강한),He has a strong academic background. (그는 탄탄한 학문적 배경을 가지고 있습니다.),Her interests are purely academic. (그녀의 관심사는 순수하게 학문적입니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Clever,"영리한 (머리를 잘 굴리는, 솜씨 좋은)",That was a clever trick. (그것은 영리한 속임수였습니다.),He is clever with his hands. (그는 손재주가 좋습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Ingenious,"기발한, 독창적인 (창의적으로 문제를 해결하는)",An ingenious invention aimed at saving water. (물을 절약하기 위한 기발한 발명품.),He found an ingenious way to fix it. (그는 그것을 고칠 기발한 방법을 찾았습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Capable,유능한 (일을 처리할 능력이 있는),She is a very capable manager. (그녀는 매우 유능한 관리자입니다.),I am capable of handling this myself. (저는 이것을 혼자 처리할 능력이 있습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Competent,"능숙한, 적임의 (필요한 수준의 능력을 갖춘)",We need a competent mechanic. (우리는 능숙한 정비사가 필요합니다.),He is competent in three languages. (그는 3개 국어에 능숙합니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Proficient,"능란한, 숙달된 (훈련을 통해 잘하는)",He is proficient at computer programming. (그는 컴퓨터 프로그래밍에 능숙합니다.),Become proficient in using the software. (소프트웨어 사용에 숙달되세요.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Skilled,숙련된 (기술이 뛰어난),A skilled worker is hard to find. (숙련된 일꾼은 찾기 어렵습니다.),Skilled labor commands higher wages. (숙련된 노동력은 더 높은 임금을 받습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Expert,전문적인 (최고 수준의 지식/기술),Seek expert advice before investing. (투자하기 전에 전문가의 조언을 구하세요.),She is an expert in marine biology. (그녀는 해양 생물학 전문가입니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Masterful,"거장다운, 능수능란한 (통제력 있고 뛰어난)",He gave a masterful performance. (그는 거장다운 연기를 보여주었습니다.),"With a masterful stroke, he won the game. (능수능란한 한 방으로 그는 게임에서 이겼습니다.)",GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Educated,"교육받은, 교양 있는 (학교 교육을 잘 받은)",An educated guess. (근거 있는 추측.),He comes from an educated family. (그는 교육받은 집안 출신입니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Literate,글을 읽고 쓸 줄 아는 (기본적인 지식이 있는),Computer literate employees. (컴퓨터를 다룰 줄 아는 직원들.),The goal is to make everyone literate. (목표는 모든 사람이 글을 읽고 쓸 줄 알게 하는 것입니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Knowledgeable,아는 것이 많은 (박식한),He is knowledgeable about history. (그는 역사에 대해 박식합니다.),A knowledgeable tour guide. (아는 것이 많은 여행 가이드.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Well-read,다독한 (책을 많이 읽어 지식이 풍부한),She is remarkably well-read for her age. (그녀는 나이에 비해 놀라울 정도로 다독했습니다.),A well-read person is good conversation. (책을 많이 읽은 사람은 대화하기 좋습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Scholarly,학자적인 (학문에 정진하는),A scholarly approach to the problem. (문제에 대한 학자적인 접근.),He publishes scholarly articles. (그는 학술 논문을 발표합니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Bookish,책을 좋아하는 (실생활보다 책에 파묻힌),"He was a quiet, bookish child. (그는 조용하고 책을 좋아하는 아이였습니다.)",Bookish knowledge isn't always practical. (책에서 얻은 지식이 항상 실용적인 것은 아닙니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Highbrow,"지식인인 체하는, 교양 있는 (어려운 문화를 즐기는)",Highbrow tastes in music. (음악에 대한 고상한 취향.),The movie was too highbrow for me. (그 영화는 나에게 너무 난해했습니다.),GENERAL,1_GENERAL_INTELLIGENCE_BRILLIANCE
Sage,"현명한, 성인 같은 (매우 깊은 지혜)",The tribe listened to the sage advice of the elder. (부족은 장로의 현명한 조언을 경청했습니다.),He is considered a sage in his field. (그는 자신의 분야에서 현인으로 여겨집니다.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Sagacious,"총명한, 현명한 (예리한 판단력, 격식) > sage 현자",A sagacious leader avoids unnecessary war. (현명한 지도자는 불필요한 전쟁을 피합니다.),Her sagacious observations helped us. (그녀의 총명한 관찰이 우리에게 도움이 되었습니다.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Prudent,신중한 (미래를 대비하고 조심하는),It is prudent to check the oil level. (오일 레벨을 확인하는 것이 신중합니다.),A prudent investment strategy. (신중한 투자 전략.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Discriminating,"안목 있는  and 차별하는.  crit(분리,나누다)",A discriminating collector of art. (안목 있는 예술 수집가.),Discriminating taste in wine. (와인에 대한 식견 있는 취향.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
criticize,비평하다,,,GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Discerning,식견이 있는 (좋은 것을 알아보는),For the discerning traveler. (식견 있는 여행자를 위해.),She has a discerning eye for quality. (그녀는 품질을 알아보는 안목이 있습니다.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Judicious,판단력 있는 (신중하고 적절한),A judicious use of resources. (자원의 적절한 사용.),Be judicious in your choice of words. (단어 선택에 있어 신중하세요.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Contemplative,사색/관조 하는  con(함께+template(신당),Monks live a contemplative life. (승려들은 사색하는 삶을 삽니다.),He is in a contemplative mood. (그는 사색에 잠긴 기분입니다.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Pensive,수심에 잠긴 (약간 슬프게 깊은 생각)  (라)pendere 매달리다,She looked pensive staring out the window. (창밖을 바라보는 그녀는 수심에 잠겨 보였습니다.),A pensive expression. (생각에 잠긴 표정.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
pendium,시계추,,,GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Intuitive,직관적인 (설명보다 감각으로 아는),She has an intuitive understanding of people. (그녀는 사람에 대한 직관적인 이해력을 가지고 있습니다.),The software is intuitive to use. (그 소프트웨어는 사용하기 직관적입니다.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Sensible,분별 있는 (상식에 맞고 실용적인),That seems like a sensible decision. (그것은 분별 있는 결정처럼 보입니다.),Wear sensible shoes for hiking. (하이킹할 때는 실용적인 신발을 신으세요.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Reasonable,합리적인 (이치에 맞고 과하지 않은),A reasonable request. (합리적인 요청.),Let's try to be reasonable about this. (이 문제에 대해 합리적으로 생각합시다.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Rational,이성적인 (감정에 휘둘리지 않는),Make a rational choice based on facts. (사실에 근거하여 이성적인 선택을 하세요.),Humans are rational animals. (인간은 이성적인 동물입니다.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Logical,논리적인 (인과 관계가 맞는),A logical progression of ideas. (아이디어의 논리적인 전개.),It's the only logical conclusion. (그것이 유일한 논리적 결론입니다.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Sound,"건전한, 타당한 (판단력이 흠잡을 데 없는)",She has sound judgment. (그녀는 건전한 판단력을 가지고 있습니다.),Sound advice for beginners. (초보자를 위한 타당한 조언.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Insightful,통찰력 있는 (본질을 꿰뚫어 보는),An insightful article about politics. (정치에 관한 통찰력 있는 기사.),Her comments were very insightful. (그녀의 논평은 매우 통찰력이 있었습니다.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
Perceptive,지각력이 예민한 (남이 못 보는 것을 알아채는),A perceptive teacher notices student problems. (예민한 교사는 학생의 문제를 알아차립니다.),You are very perceptive to notice that. (그것을 알아차리다니 당신은 매우 눈치가 빠르군요.),GENERAL,2_WISDOM_INSIGHT_PRUDENCE
